0,1,date,place,accompanying text,link
-105.103179,40.164837,7/27/16,college,Kill-the-Muslin,daily.swarthmore.edu/2016/11/21/mccabe-swastika/
-74.21176,40.09425,8/25/16,college,Hitler-was-Right; A-U,thetab.com/us/florida/2016/11/20/uf-frat-swastika-4865
-74.204209,40.149318,8/29/16,college,Defend-America; No-Muslims; Jesus-knows-no-traitors,www.algemeiner.com/2016/12/09/son-of-sopranos-co-star-arrested-for-vandalizing-suny-dorm-with-swastika-graffiti/
-75.344083,39.897162,8/30/16,K-12,Wetback,www.courant.com/breaking-news/hc-new-haven-swastika-trump-graffitti-1123-20161122-story.html
-77.016719,38.911936,9/21/16,public facility,I'm-not-Racist; I'm-drunk,chicagoist.com/2016/11/22/someone_drew_swastikas_on_evanston.php
-87.81395,41.89781,9/26/16,college,This-is-not-Meant-to-be-Rude; same-thing,www.sentinelsource.com/news/local/swastika-found-in-keene-state-dorm-bathroom/article_88f41c8c-be74-5ece-aef0-423ad1d302b8.html
-118.766918,34.184975,9/29/16,K-12,Trump,www.ajc.com/news/local/gwinnett-principal-racist-graffiti-does-not-define-our-school/DKAz6R6ExuZg1h4VY4O58I/
-72.567882,42.049194,9/29/16,K-12,Truth-Dispels-Darkness,www.njherald.com/20161122/parents-not-told-of-swastika-incident-at-sparta-school
-77.645224,39.085309,9/30/16,K-12,How-is-a-Diploma-going-to-help-you-in-the-Race War?; Join-your-local-Nazis!; The-Atomwaffen-Division,boston.cbslocal.com/2016/11/26/harvard-high-school-students-repaint-rock-covered-in-hateful-graffiti
-123.011597,44.058465,10/1/16,private property,Sieg-Heil!,www.usatoday.com/story/news/nation-now/2016/12/14/arrest-made-swastika-vandalism-interracial-couples-home-ohio/95454240/
-121.803388,47.432251,10/1/16,local business,KYS,www.gazettenet.com/Williamsburg-police-investigating-swastika-6428750
-87.62213,41.88531,10/1/16,public space,KKK,billingsgazette.com/news/local/we-want-everybody-to-feel-safe-graffiti-display-on-rims/article_0849a85e-3ec5-5356-9db3-32d2871e1e69.html
-76.397634,40.331594,10/2/16,private property,Trump-for-President-2016; KKK; Make-Trump-USSR-Great-Again; God-Said-666-Lie!!,www.citypages.com/news/swastika-in-north-minneapolis-is-minnesotas-latest-post-election-hate/403623786
-93.090649,44.951483,10/4/16,public space,white-is-supreme,www.longislandpress.com/2016/12/05/make-america-white-again-graffiti-in-mineola-probed-as-hate-crime/
-122.534237,37.936624,10/9/16,college,Ni*ger,www.patriotledger.com/news/20161209/curry-college-responding-to-rash-of-hate-incidents-on-campus
-87.81395,41.89781,10/10/16,private property,White-Power,www.huffingtonpost.com/entry/swastika-cupcakes-birthday-gift_us_583df40ee4b04fcaa4d562a6
-77.182953,39.139336,10/13/16,K-12,Kill-the-Jews,www.washingtonpost.com/local/education/swastika-drawn-on-restroom-wall-in-maryland-high-school/2016/11/30/9f973b4c-b675-11e6-959c-172c82123976_story.html?utm_term=.46d7f99d9c02
-73.639723,40.726801,10/15/16,public space,Where-will-you-be-when-the-race-war-begins?; when-the-world-burns?; Join-your-local-Nazis!; Congregating-near-you!; The-Attomwaffen-Division,www.nydailynews.com/news/crime/red-spray-painted-swastikas-investigated-hate-crimes-article-1.2915531
-73.471416,41.376242,10/24/16,college,Black-Lives-Matter,wxxinews.org/post/suny-geneseo-dealing-another-incident-racist-graffiti
-75.18129,40.99954,10/29/16,K-12,Ni*ger,www.bostonglobe.com/metro/2016/12/02/swastika-and-word-trump-found-written-chalkboard-brookline-school/HvVLTMtv63Tvnv4FSlLAQP/story.html
-122.417481,37.776646,10/31/16,private property,"Go-Back-to-your-own-Country, Trump",nypost.com/2016/12/06/long-island-cops-investigate-racist-sidewalk-graffiti/
-123.057597,46.181872,10/31/16,K-12,Jew,villagegreennj.com/schools-kids/swastika-found-south-orange-middle-school-restroom/
-123.057597,46.181872,10/31/16,local business,Rapeugees-Shop-Here,www.nbclosangeles.com/news/local/Caught-on-Camera-Swastika-Tagging-Spree-in-Downtown-Los-Angeles-404214346.html
-77.207617,39.143979,11/1/16,private property,Die-Ni*gers,www.washingtonpost.com/local/public-safety/automobiles-were-spray-painted-with-swastikas-and-the-word-racist-in-md-police-say/2016/12/01/f19fc4a4-b7ce-11e6-a677-b608fbb3aaf6_story.html?postshare=4531480625103384&tid=ss_tw&utm_term=.8b31532e117d
-71.34895,42.46037,11/4/16,K-12,"Trump-Can't-do-it-Alone, Report-Illegal-Aliens",www.news-press.com/story/news/2017/02/28/sail-suspended-students-forming-swastika/98535378/
-77.94806,42.12201,11/8/16,public space,KKK,chicagoist.com/2016/12/08/those_trump_swastika_signs_around_t.php
-122.417481,37.776646,11/9/16,K-12,white-power,www.post-gazette.com/local/south/2016/12/03/Mt-Lebanon-police-probing-racist-anti-Semitic-graffiti-at-schools-and-football-field/stories/201612030059
-106.131618,34.434684,11/9/16,college,New Order: Building a Better World for Aryan Generations,www.pennlive.com/news/2016/12/bucknell_president_utterly_dis.html
-73.209998,44.476622,11/9/16,K-12,War-is-Coming,www.post-gazette.com/local/south/2016/12/03/Mt-Lebanon-police-probing-racist-anti-Semitic-graffiti-at-schools-and-football-field/stories/201612030059
-75.11787,40.001811,11/9/16,college,Trump,www.sentinelsource.com/news/local/more-swastika-graffiti-found-at-keene-state/article_1e522ff7-f0d5-570d-bc40-53e574d58808.html
-122.690794,45.507856,11/10/16,K-12,"Jews-Die, Free-USA",brookline.wickedlocal.com/news/20161205/school-investigates-possible-swastika-copycat-incident-at-brookline-high
-75.11787,40.001811,11/10/16,college,Trump,www.ketv.com/article/swastika-make-america-great-again-carving-anti-blacks-vandalism-found-at-uno/8484152
-71.121097,42.309661,11/10/16,public space,Help-me-Kill-you-Stupid,www.ocregister.com/2017/01/09/swastikas-at-mission-viejo-park-unite-multifaith-community/
-74.85248,40.17837,11/10/16,K-12,KKK,www.necn.com/news/new-england/Swastika-Found-at-Cambridge-Rindge-and-Latin-School-405525405.html
-93.090649,44.951483,11/10/16,private property,"Bomb, 1am",nesn.com/2016/12/giants-fullback-has-home-vandalized-with-swastika-donald-trumps-name/
-122.207221,47.615471,11/11/16,public space,Heil-Hitler; Fuck- N***er; 14:88; 23:16,www.nbcnewyork.com/news/local/swastikas-ninth-avenue-hells-kitchen-hate-crime-trump-405363195.html
-77.207617,39.143979,11/11/16,public space,Ni*ger,patch.com/new-york/williamsburg/photos-white-power-trump-graffiti-spotted-brooklyn-nature-walk
